episode,reward,length
1,[0.8725],0
2,[0.5175],0
3,[0.68625],0
4,[0.59125],0
5,[0.4675],0
6,[0.85],0
7,[0.5125],0
8,[0.83875],0
9,[0.8825],0
10,[0.65875],0
11,[0.435],0
12,[0.445],0
13,[0.66125],0
14,[0.45125],0
15,[0.65125],0
16,[0.71375],0
17,[0.4325],0
18,[0.43125],0
19,[0.56625],0
20,[0.83125],0
21,[0.7925],0
22,[0.89125],0
23,[0.68875],0
24,[0.4375],0
25,[0.89125],0
26,[0.52625],0
27,[0.65625],0
28,[0.785],0
29,[0.6475],0
30,[0.51375],0
31,[0.65375],0
32,[0.7725],0
33,[0.675],0
34,[0.43125],0
35,[0.85375],0
36,[0.5275],0
37,[0.71125],0
38,[0.4425],0
39,[0.54875],0
40,[0.47625],0
41,[0.5375],0
42,[0.5525],0
43,[0.89125],0
44,[0.63],0
45,[0.76625],0
46,[0.58375],0
47,[0.85625],0
48,[0.69375],0
49,[0.5825],0
50,[0.5575],0
51,[0.4775],0
52,[0.445],0
53,[0.7925],0
54,[0.5025],0
55,[0.57625],0
56,[0.61125],0
57,[0.875],0
58,[0.58125],0
59,[0.85375],0
60,[0.59125],0
61,[0.64625],0
62,[0.57375],0
63,[0.83125],0
64,[0.49375],0
65,[0.815],0
66,[0.44125],0
67,[0.68375],0
68,[0.5875],0
69,[0.73],0
70,[0.54875],0
71,[0.6175],0
72,[0.8175],0
73,[0.8],0
74,[0.7525],0
75,[0.79875],0
76,[0.54875],0
77,[0.88375],0
78,[0.7575],0
79,[0.445],0
80,[0.8575],0
81,[0.72125],0
82,[0.52875],0
83,[0.5525],0
84,[0.74375],0
85,[0.5],0
86,[0.7475],0
87,[0.835],0
88,[0.545],0
89,[0.65],0
90,[0.83625],0
91,[0.68125],0
92,[0.4975],0
93,[0.81],0
94,[0.46875],0
95,[0.73875],0
96,[0.715],0
97,[0.57875],0
98,[0.785],0
99,[0.85625],0
100,[0.4625],0
101,[0.76125],0
102,[0.8525],0
103,[0.54375],0
104,[0.5975],0
105,[0.46625],0
106,[0.5025],0
107,[0.64875],0
108,[0.7425],0
109,[0.8025],0
110,[0.63],0
111,[0.585],0
112,[0.565],0
113,[0.77375],0
114,[0.43375],0
115,[0.54125],0
116,[0.65125],0
117,[0.865],0
118,[0.59875],0
