episode,reward,length
1,[0.655],0
2,[0.77875],0
3,[0.71],0
4,[0.76625],0
5,[0.84875],0
6,[0.73875],0
7,[0.60875],0
8,[0.69375],0
9,[0.55875],0
10,[0.7425],0
11,[0.86875],0
12,[0.64625],0
13,[0.4725],0
14,[0.62625],0
15,[0.43375],0
16,[0.81125],0
17,[0.52625],0
18,[0.76875],0
19,[0.49125],0
20,[0.75],0
21,[0.77],0
22,[0.70875],0
23,[0.7975],0
24,[0.7825],0
25,[0.80125],0
26,[0.52875],0
27,[0.8025],0
28,[0.45375],0
29,[0.855],0
30,[0.4925],0
31,[0.4725],0
32,[0.72125],0
33,[0.8275],0
34,[0.59125],0
35,[0.5025],0
36,[0.6825],0
37,[0.44],0
38,[0.84875],0
39,[0.81],0
40,[0.645],0
41,[0.8675],0
42,[0.7575],0
43,[0.5625],0
44,[0.655],0
45,[0.48],0
46,[0.54375],0
47,[0.59375],0
48,[0.8275],0
49,[0.68875],0
50,[0.67875],0
51,[0.785],0
52,[0.67625],0
53,[0.53125],0
54,[0.71],0
55,[0.59375],0
56,[0.48875],0
57,[0.735],0
58,[0.6925],0
59,[0.64625],0
60,[0.63],0
61,[0.455],0
62,[0.44375],0
63,[0.64625],0
64,[0.835],0
65,[0.83875],0
66,[0.9],0
67,[0.77],0
68,[0.70875],0
69,[0.65875],0
70,[0.6625],0
71,[0.79125],0
72,[0.67375],0
73,[0.71625],0
74,[0.76625],0
75,[0.79],0
76,[0.5175],0
77,[0.435],0
78,[0.705],0
79,[0.85375],0
80,[0.60875],0
81,[0.87],0
82,[0.605],0
83,[0.85],0
84,[0.68625],0
85,[0.485],0
86,[0.83625],0
87,[0.8175],0
88,[0.73375],0
89,[0.54875],0
90,[0.7475],0
91,[0.5625],0
92,[0.65125],0
93,[0.6425],0
94,[0.88875],0
95,[0.64625],0
96,[0.70125],0
97,[0.51125],0
98,[0.63625],0
99,[0.5975],0
100,[0.5375],0
101,[0.5],0
102,[0.7325],0
103,[0.87375],0
104,[0.44],0
105,[0.6325],0
106,[0.66875],0
107,[0.635],0
108,[0.55],0
109,[0.85375],0
110,[0.54375],0
111,[0.77],0
112,[0.75625],0
113,[0.475],0
114,[0.74],0
115,[0.71625],0
116,[0.6025],0
117,[0.50625],0
118,[0.715],0
119,[0.48],0
120,[0.4725],0
121,[0.6425],0
122,[0.61375],0
123,[0.5475],0
124,[0.4625],0
125,[0.55875],0
126,[0.515],0
127,[0.81625],0
128,[0.875],0
129,[0.68],0
130,[0.50375],0
131,[0.49375],0
132,[0.56875],0
133,[0.68375],0
134,[0.6525],0
135,[0.86125],0
136,[0.5725],0
137,[0.76625],0
