episode,reward,length
1,[0.7925],0
2,[0.79125],0
3,[0.55],0
4,[0.8375],0
5,[0.85375],0
6,[0.6675],0
7,[0.7575],0
8,[0.45375],0
9,[0.61375],0
10,[0.67875],0
11,[0.76125],0
12,[0.8275],0
13,[0.7525],0
14,[0.70125],0
15,[0.585],0
16,[0.45125],0
17,[0.74625],0
18,[0.40125],0
19,[0.6925],0
20,[0.84625],0
21,[0.83],0
22,[0.56],0
23,[0.58625],0
24,[0.61875],0
25,[0.8775],0
26,[0.6725],0
27,[0.56],0
28,[0.50625],0
29,[0.435],0
30,[0.645],0
31,[0.75],0
32,[0.455],0
33,[0.68875],0
34,[0.56625],0
35,[0.6275],0
36,[0.69375],0
37,[0.5525],0
38,[0.64125],0
39,[0.80875],0
40,[0.80875],0
41,[0.5525],0
42,[0.685],0
43,[0.56625],0
44,[0.55],0
45,[0.8825],0
46,[0.785],0
47,[0.78375],0
48,[0.61625],0
49,[0.6475],0
50,[0.5125],0
51,[0.9],0
52,[0.69],0
53,[0.74875],0
54,[0.54125],0
55,[0.48125],0
56,[0.695],0
57,[0.60375],0
58,[0.7175],0
59,[0.57],0
60,[0.86625],0
61,[0.47125],0
62,[0.8175],0
63,[0.46625],0
64,[0.72375],0
65,[0.6875],0
66,[0.88375],0
67,[0.77],0
68,[0.865],0
69,[0.82],0
70,[0.8475],0
71,[0.83375],0
72,[0.5825],0
73,[0.72625],0
74,[0.875],0
75,[0.67875],0
76,[0.71125],0
77,[0.44625],0
78,[0.5525],0
79,[0.67125],0
80,[0.83375],0
81,[0.56375],0
82,[0.4775],0
83,[0.87],0
84,[0.55375],0
85,[0.665],0
86,[0.60125],0
87,[0.68625],0
88,[0.775],0
89,[0.44],0
90,[0.48625],0
91,[0.8575],0
92,[0.48875],0
93,[0.41],0
94,[0.63625],0
95,[0.4675],0
96,[0.6275],0
97,[0.86],0
98,[0.54375],0
99,[0.48375],0
100,[0.795],0
101,[0.73375],0
102,[0.485],0
103,[0.48125],0
104,[0.5],0
105,[0.8225],0
106,[0.83],0
107,[0.6625],0
108,[0.44],0
109,[0.59125],0
110,[0.17375],0
111,[0.62875],0
112,[0.71125],0
113,[0.64],0
114,[0.45],0
115,[0.57],0
116,[0.865],0
117,[0.73],0
118,[0.48625],0
119,[0.47],0
120,[0.89875],0
121,[0.8625],0
122,[0.86625],0
123,[0.6475],0
124,[0.52],0
125,[0.70375],0
126,[0.515],0
127,[0.70625],0
128,[0.76625],0
129,[0.78375],0
130,[0.64],0
131,[0.71125],0
132,[0.5],0
133,[0.8075],0
134,[0.81],0
135,[0.50625],0
136,[0.47125],0
137,[0.47],0
138,[0.66875],0
139,[0.755],0
140,[0.525],0
141,[0.56875],0
142,[0.82875],0
