episode,reward,length
1,[0.79625],0
2,[0.43],0
3,[0.6],0
4,[0.4275],0
5,[0.5175],0
6,[0.64125],0
7,[0.71625],0
8,[0.6025],0
9,[0.76125],0
10,[0.8575],0
11,[0.755],0
12,[0.82875],0
13,[0.5175],0
14,[0.54],0
15,[0.5425],0
16,[0.80125],0
17,[0.4225],0
18,[0.63],0
19,[0.675],0
20,[0.4425],0
21,[0.77],0
22,[0.42875],0
23,[0.525],0
24,[0.56875],0
25,[0.58625],0
26,[0.6775],0
27,[0.52125],0
28,[0.59],0
29,[0.59625],0
30,[0.59625],0
31,[0.63875],0
32,[0.5975],0
33,[0.75875],0
34,[0.83875],0
35,[0.80875],0
36,[0.63375],0
37,[0.86375],0
38,[0.67625],0
39,[0.5525],0
40,[0.7725],0
41,[0.60625],0
42,[0.835],0
43,[0.84],0
44,[0.84375],0
45,[0.53],0
46,[0.80875],0
47,[0.76625],0
48,[0.5825],0
49,[0.68625],0
50,[0.58375],0
51,[0.46375],0
52,[0.87],0
53,[0.49875],0
54,[0.87625],0
55,[0.71125],0
56,[0.67],0
57,[0.70375],0
58,[0.6125],0
59,[0.84375],0
60,[0.58625],0
61,[0.7975],0
62,[0.8225],0
63,[0.85625],0
64,[0.7025],0
65,[0.8325],0
66,[0.48875],0
67,[0.635],0
68,[0.63],0
69,[0.70375],0
70,[0.60125],0
71,[0.62375],0
72,[0.60875],0
73,[0.5475],0
74,[0.51375],0
75,[0.49125],0
76,[0.595],0
77,[0.58],0
78,[0.71625],0
79,[0.70625],0
80,[0.70375],0
81,[0.72125],0
82,[0.69375],0
83,[0.835],0
84,[0.725],0
85,[0.8375],0
86,[0.7675],0
87,[0.4725],0
88,[0.745],0
89,[0.41625],0
90,[0.61],0
91,[0.80125],0
92,[0.83625],0
93,[0.54375],0
94,[0.53875],0
95,[0.5475],0
96,[0.78625],0
97,[0.805],0
98,[0.71625],0
99,[0.5675],0
100,[0.6875],0
101,[0.755],0
102,[0.735],0
103,[0.72125],0
104,[0.79375],0
105,[0.58125],0
106,[0.70875],0
107,[0.40375],0
108,[0.76],0
109,[0.49875],0
110,[0.62375],0
111,[0.7925],0
112,[0.785],0
113,[0.5675],0
114,[0.49875],0
115,[0.43625],0
116,[0.5375],0
117,[0.6575],0
118,[0.4325],0
119,[0.64],0
120,[0.7925],0
121,[0.83625],0
122,[0.415],0
123,[0.74],0
124,[0.815],0
125,[0.65125],0
