episode,reward,length
1,[0.7375],0
2,[0.87625],0
3,[0.81875],0
4,[0.8525],0
5,[0.57375],0
6,[0.52125],0
7,[0.77375],0
8,[0.8975],0
9,[0.59875],0
10,[0.71875],0
11,[0.89625],0
12,[0.47125],0
13,[0.83625],0
14,[0.81625],0
15,[0.65125],0
16,[0.82],0
17,[0.8675],0
18,[0.8375],0
19,[0.45875],0
20,[0.4925],0
21,[0.49125],0
22,[0.82875],0
23,[0.54375],0
24,[0.83625],0
25,[0.5775],0
26,[0.74625],0
27,[0.73875],0
28,[0.8175],0
29,[0.62625],0
30,[0.5075],0
31,[0.895],0
32,[0.79375],0
33,[0.825],0
34,[0.86125],0
35,[0.5025],0
36,[0.53375],0
37,[0.685],0
38,[0.71375],0
39,[0.795],0
40,[0.7625],0
41,[0.69375],0
42,[0.67375],0
43,[0.78625],0
44,[0.60625],0
45,[0.8825],0
46,[0.67625],0
47,[0.47875],0
48,[0.68375],0
49,[0.82375],0
50,[0.5925],0
51,[0.43375],0
52,[0.53625],0
53,[0.6525],0
54,[0.57125],0
55,[0.65],0
56,[0.83],0
57,[0.82375],0
58,[0.62875],0
59,[0.79875],0
60,[0.51875],0
61,[0.4325],0
62,[0.495],0
63,[0.71],0
64,[0.48375],0
65,[0.67875],0
66,[0.79],0
67,[0.765],0
68,[0.54],0
69,[0.5425],0
70,[0.43875],0
71,[0.85875],0
72,[0.67625],0
73,[0.50125],0
74,[0.6875],0
75,[0.49375],0
76,[0.88125],0
77,[0.73375],0
78,[0.44],0
79,[0.53],0
80,[0.83],0
81,[0.71],0
82,[0.8425],0
83,[0.7375],0
84,[0.89375],0
85,[0.78],0
86,[0.6625],0
87,[0.525],0
88,[0.8125],0
89,[0.84375],0
90,[0.55625],0
91,[0.8775],0
92,[0.8225],0
93,[0.875],0
94,[0.815],0
95,[0.67125],0
96,[0.51375],0
97,[0.66375],0
98,[0.4525],0
99,[0.73],0
100,[0.84625],0
101,[0.4325],0
102,[0.49125],0
103,[0.7175],0
104,[0.52],0
105,[0.63125],0
106,[0.78125],0
107,[0.66375],0
108,[0.86375],0
109,[0.7925],0
110,[0.87],0
111,[0.4625],0
112,[0.5475],0
113,[0.775],0
114,[0.56625],0
115,[0.71875],0
116,[0.5775],0
117,[0.7875],0
118,[0.47],0
119,[0.705],0
120,[0.8875],0
